ID,Household income,Method,education,Household size,Rainfall,Ave temp,Travel time,Amount spent,Availability,Quality,Willingness to pay,Kitchen Sink,ToiletWC,Garden,car,Volume in lpcd,Shortest distance,Height diff
1,100000,carried,2,4,0,75,25,9000,often,good,8000,0,0,0,0,90,136.01,4
2,50000,delivered,2,4,0,75,55,5000,often,good,4000,0,0,0,0,50,349.69,2
3,85000,delivered,1,3,0,75,25,9000,not_often,good,11000,0,0,0,0,120,335.43,7
4,80000,delivered,1,5,0,75,35,5000,often,fair,4000,0,0,0,0,50,310.44,2
5,75000,delivered,1,4,0,75,30,8000,often,fair,7000,0,0,0,0,80,276.74,0
6,50000,carried,2,4,0,75,45,5000,often,good,4000,0,0,0,0,50,224.96,2
7,75000,carried,1,4,0,75,30,8000,not_often,fair,7000,0,0,0,0,80,167.03,4
8,75000,carried,1,6,0,75,25,6000,not_often,good,9000,0,0,0,0,60,122.1,3
9,75000,carried,1,6,0,75,30,5000,not_often,fair,4000,0,0,0,0,50,107.42,3
10,75000,carried,1,6,0,75,25,6000,often,fair,9000,0,0,0,0,60,151.09,3
11,75000,carried,2,3,0,75,25,9000,not_often,good,11000,0,0,0,0,120,249,1
12,75000,carried,1,6,0,75,25,6000,not_often,good,9000,0,0,0,0,60,290,8
13,75000,carried,1,3,0,75,35,8000,not_often,fair,7000,0,0,0,0,80,266.37,6
14,75000,delivered,1,5,0,75,40,5000,not_often,fair,4000,0,0,0,0,50,238.1,3
15,75000,carried,2,4,0,75,60,4000,often,fair,3000,0,0,0,0,40,203.82,0
16,75000,carried,1,4,0,75,30,8000,often,fair,7000,0,0,0,0,80,156.35,2
17,75000,carried,1,3,0,75,40,8000,often,fair,7000,0,0,0,0,80,104.85,2
18,45000,carried,3,5,0,75,40,5000,often,fair,4000,0,0,0,0,50,76.55,1
19,40000,carried,1,4,0,75,60,4000,not_often,good,3000,0,0,0,0,40,52.61,2
20,105000,carried,2,3,0,75,25,9000,often,good,11000,0,0,0,0,120,126.21,1
21,100000,carried,1,6,0,75,25,6000,not_often,fair,9000,0,0,0,0,60,189.99,0
22,105000,delivered,1,6,0,75,25,6000,not_often,fair,9000,0,0,0,0,60,251.53,7
23,50000,delivered,1,4,0,75,55,5000,often,fair,4000,0,0,0,0,50,240.93,7
24,45000,delivered,1,3,0,75,40,8000,often,good,7000,0,0,0,0,80,207.39,5
25,65000,carried,1,5,0,75,35,5000,often,fair,4000,0,0,0,0,50,182.72,2
26,50000,carried,1,3,0,75,40,8000,not_often,good,7000,0,0,0,0,80,112.16,0
27,105000,carried,1,3,0,75,25,9000,not_often,good,11000,0,0,0,0,120,56.3,1
28,40000,carried,1,4,0,75,60,4000,not_often,fair,3000,0,0,0,0,40,30.41,1
29,40000,carried,1,3,0,75,40,8000,often,good,7000,0,0,0,0,80,74.43,2
30,40000,carried,1,4,0,75,60,4000,not_often,good,3000,0,0,0,0,40,141.01,2
31,40000,carried,1,4,0,75,60,4000,often,fair,3000,0,0,0,0,40,144.28,3
32,40000,delivered,1,4,0,75,30,3000,often,good,7000,0,0,0,0,30,167.93,5
33,40000,carried,2,4,0,75,30,6000,not_often,good,7000,0,0,0,0,60,67.2,4
34,40000,delivered,1,3,0,75,25,9000,often,good,12000,0,0,0,0,90,93.52,5
35,40000,delivered,1,4,0,75,60,4000,often,fair,3000,0,0,0,1,40,102.07,5
36,40000,delivered,1,5,0,75,40,4000,not_often,good,4000,0,0,0,0,40,60.88,2
37,40000,carried,1,3,0,75,25,7000,not_often,good,11000,0,0,0,0,70,87,0
38,40000,delivered,1,4,0,75,30,5000,not_often,fair,7000,0,0,0,0,50,92.91,3
39,100000,delivered,2,4,0,75,30,4000,often,good,7000,0,0,0,0,40,126.53,3
40,60000,delivered,1,3,0,75,40,4000,often,good,7000,0,0,0,0,40,167.06,6
41,45000,delivered,1,3,0,75,35,3000,often,fair,7000,0,0,0,0,30,206.46,6
42,60000,delivered,1,3,0,75,40,3000,not_often,fair,7000,0,0,0,0,30,193.83,6
43,40000,delivered,1,4,0,75,60,3000,often,good,3000,0,0,0,0,30,188.4,4
44,60000,delivered,2,3,0,75,35,4000,not_often,good,7000,0,0,0,0,40,139.45,4
45,65000,carried,2,4,0,75,30,6000,not_often,fair,7000,0,0,0,0,60,74.4,3
46,100000,carried,2,4,0,75,25,9000,not_often,fair,9000,0,0,0,0,100,35.36,1
47,70000,carried,1,5,0,75,40,8000,often,fair,4000,0,0,0,0,80,51.62,1
48,100000,carried,1,6,0,75,25,4000,often,good,9000,0,0,0,0,40,90.8,1
49,85000,delivered,1,6,0,75,25,2000,not_often,fair,9000,0,0,0,0,20,136.56,2
50,100000,delivered,1,6,0,75,25,2000,not_often,fair,9000,0,0,0,0,20,150.72,4
51,90000,delivered,1,6,0,75,25,3000,often,fair,9000,0,0,0,0,30,102.08,1
52,105000,delivered,1,6,0,75,25,3000,often,good,9000,0,0,0,0,30,114.39,3
53,75000,delivered,1,4,0,75,30,4000,often,fair,7000,0,0,0,0,40,139.29,4
54,75000,delivered,1,4,0,75,45,3000,not_often,good,4000,0,0,0,0,30,188.53,3
55,75000,delivered,1,6,0,75,25,2000,not_often,fair,9000,0,0,0,0,20,189.11,3
56,75000,delivered,1,4,0,75,30,3000,not_often,good,7000,0,0,0,0,30,151.82,3
57,75000,delivered,1,5,0,75,40,4000,not_often,fair,4000,0,0,0,0,40,98.27,3
58,75000,carried,2,3,0,75,25,8000,often,fair,11000,0,0,0,0,80,66.1,3
59,75000,delivered,1,3,0,75,40,9000,often,fair,8000,0,0,0,0,90,54.04,2
60,75000,carried,1,3,0,75,35,9000,often,fair,7000,0,0,0,0,100,37.12,1
61,80000,delivered,1,4,0,75,30,6000,often,good,7000,0,0,0,0,60,77.16,2
62,40000,delivered,1,4,0,75,60,5000,not_often,good,3000,0,0,0,0,50,118.44,2
63,75000,delivered,1,4,0,75,30,3000,not_often,very good,7000,0,0,0,0,30,176.82,3
64,40000,delivered,1,4,0,75,55,2000,not_often,very good,4000,0,0,0,0,20,235.36,6
65,45000,delivered,2,3,0,75,40,2000,often,very good,7000,0,0,0,0,20,254.87,7
66,90000,delivered,2,6,0,75,25,1000,often,good,9000,0,0,0,0,10,296.1,9
67,50000,carried,1,4,0,75,55,3000,often,good,4000,0,0,0,0,30,207.2,5
68,60000,carried,1,3,0,75,40,3000,often,good,7000,0,0,0,0,30,238.32,6
69,60000,delivered,1,4,0,75,55,3000,often,good,4000,0,0,0,0,30,197.28,5
70,60000,delivered,1,6,0,75,25,1000,often,good,9000,0,0,0,0,10,228.64,6
71,60000,delivered,1,4,0,75,60,1000,not_often,fair,3000,0,0,0,0,10,237.98,6
72,60000,delivered,1,5,0,75,40,2000,not_often,fair,4000,0,0,0,0,20,197.31,5
73,60000,delivered,1,3,0,75,40,4000,often,fair,7000,0,0,0,0,40,209.4,5
74,60000,delivered,1,4,0,75,30,2000,often,fair,7000,0,0,0,0,20,261.01,6
75,65000,delivered,1,5,0,75,40,2000,often,good,4000,0,0,0,0,20,234.85,6
76,70000,delivered,1,4,0,75,30,2000,not_often,good,7000,0,0,0,0,20,281.32,4
